Player,Team,Year,Salary,Protection Status
DiJonai Carrington ,Dallas Wings,2025,"$200,000.00",Protected Veteran
Tyasha Harris ,Dallas Wings,2025,"$100,013.00",Unprotected
NaLyssa Smith,Dallas Wings,2025,"$91,981.00",Protected Rookie Scale
Maddy Siegrist ,Dallas Wings,2025,"$83,371.00",Unprotected
Lou Lopez Sénéchal ,Dallas Wings,2025,N/A,Full-season Suspension
Paige Bueckers,Dallas Wings,2025,"$78,831.00",Unprotected
Aziaha James,Dallas Wings,2025,"$72,455.00",Unprotected
JJ Quinerly,Dallas Wings,2025,"$66,079.00",Unprotected
Luisa Geiselsöder,Dallas Wings,2025,"$66,079.00",Temporary Suspension
Li Yueru ,Dallas Wings,2025,"$66,079.00",Unprotected
Kaila Charles ,Dallas Wings,2025,"$43,225.00",Active Hardship Contract
Haley Jones ,Dallas Wings,2025,"$36,233.00",Active Hardship Contract
Awak Kuier ,Dallas Wings,2025,N/A,Suspended Contract Expired
Kaila Charles ,Dallas Wings,2025,"$21,198.00",Waived
Tiffany Hayes ,Golden State Valkyries,2025,"$200,000.00",Unprotected
Stephanie Talbot ,Golden State Valkyries,2025,"$125,000.00",Protected Veteran
Kayla Thornton ,Golden State Valkyries,2025,"$112,000.00",Protected Veteran
Monique Billings ,Golden State Valkyries,2025,"$110,000.00",Protected Veteran
Cecilia Zandalasini,Golden State Valkyries,2025,"$100,000.00",Temporary Suspension
Temi Fagbenle,Golden State Valkyries,2025,"$90,000.00",Unprotected
Veronica Burton ,Golden State Valkyries,2025,"$78,831.00",Unprotected
Carla Leite,Golden State Valkyries,2025,"$72,455.00",Unprotected
Kate Martin,Golden State Valkyries,2025,"$68,595.00",Unprotected
Janelle Salaün,Golden State Valkyries,2025,"$66,079.00",Temporary Suspension
Julie Vanloo,Golden State Valkyries,2025,"$66,079.00",Temporary Suspension
Laeticia Amihere,Golden State Valkyries,2025,"$53,307.00",Unprotected
Chloe Bibby,Golden State Valkyries,2025,"$49,420.00",Unprotected
Kaitlyn Chen,Golden State Valkyries,2025,"$49,420.00",Unprotected
Bree Hall,Golden State Valkyries,2025,"$47,755.00",Unprotected
Maria Conde,Golden State Valkyries,2025,N/A,Suspended Contract Expired
Iliana Rupert,Golden State Valkyries,2025,N/A,Suspended Contract Expired
Kyara Linskens,Golden State Valkyries,2025,"$14,437.00",Waived
Aerial Powers ,Golden State Valkyries,2025,"$11,924.00",Waived
Kelsey Mitchell ,Indiana Fever,2024,"$249,244.00",Protected Veteran
Natasha Howard ,Indiana Fever,2025,"$214,466.00",Protected Veteran
Sophie Cunningham ,Indiana Fever,2025,"$100,000.00",Unprotected
Damiris Dantas ,Indiana Fever,2025,"$100,000.00",Temporary Suspension
Sydney Colson,Indiana Fever,2025,"$90,000.00",Unprotected
Lexie Hull,Indiana Fever,2025,"$88,261.00",Protected Rookie Scale
Brianna Turner ,Indiana Fever,2025,"$85,000.00",Unprotected
Aliyah Boston,Indiana Fever,2025,"$83,371.00",Unprotected
Kristy Wallace,Indiana Fever,2025,N/A,Full-season Suspension
Caitlin Clark,Indiana Fever,2025,"$78,066.00",Unprotected
Makayla Timpson,Indiana Fever,2025,"$69,267.00",Unprotected
Aari McDonald ,Indiana Fever,2025,"$52,333.00",Unprotected
Katie Lou Samuelson ,Indiana Fever,2025,"$106,419.00",Buyout
DeWanna Bonner ,Indiana Fever,2025,"$72,269.00",Waived
Aari McDonald ,Indiana Fever,2025,"$6,459.00",Complete Hardship Contract
Jewell Loyd ,Las Vegas Aces,2025,"$249,032.00",Protected Veteran
A'ja Wilson ,Las Vegas Aces,2025,"$200,000.00",Protected Veteran
Chelsea Gray ,Las Vegas Aces,2025,"$196,267.00",Protected Veteran
Jackie Young ,Las Vegas Aces,2025,"$169,950.00",Protected Veteran
Kiah Stokes ,Las Vegas Aces,2025,"$103,000.00",Unprotected
Tiffany Mitchell ,Las Vegas Aces,2025,"$101,123.00",Unprotected
Megan Gustafson ,Las Vegas Aces,2025,"$96,820.00",Unprotected
Dana Evans ,Las Vegas Aces,2025,"$89,000.00",Protected Veteran
Kierstan Bell,Las Vegas Aces,2025,"$84,543.00",Protected Rookie Scale
Cheyenne Parker-Tyus ,Las Vegas Aces,2025,"$78,831.00",Pregnancy/Childbirth
Elizabeth Kitley ,Las Vegas Aces,2025,"$69,267.00",Unprotected
Aaliyah Nye ,Las Vegas Aces,2025,"$69,267.00",Unprotected
Joyner Holmes ,Las Vegas Aces,2025,"$61,607.00",Unprotected
Crystal Bradford ,Las Vegas Aces,2025,"$16,103.00",Waived
Dearica Hamby ,Los Angeles Sparks,2025,"$202,000.00",Protected Veteran
Kelsey Plum ,Los Angeles Sparks,2025,"$202,000.00",Protected Veteran
Azurá Stevens ,Los Angeles Sparks,2025,"$195,000.00",Protected Veteran
Mercedes Russell ,Los Angeles Sparks,2025,"$160,000.00",Unprotected
Odyssey Sims ,Los Angeles Sparks,2025,"$130,000.00",Unprotected
Rae Burrell ,Los Angeles Sparks,2025,"$125,000.00",Unprotected
Julie Allemand ,Los Angeles Sparks,2025,"$85,000.00",Temporary Suspension
Emma Cannon ,Los Angeles Sparks,2025,"$78,831.00",Unprotected
Cameron Brink ,Los Angeles Sparks,2025,"$78,066.00",Unprotected
Rickea Jackson ,Los Angeles Sparks,2025,"$78,066.00",Unprotected
Sarah Ashlee Barker ,Los Angeles Sparks,2025,"$72,455.00",Unprotected
Sania Feagin ,Los Angeles Sparks,2025,"$69,267.00",Unprotected
Liatu King ,Los Angeles Sparks,2025,"$47,894.00",Active Hardship Contract
Shey Peddy ,Los Angeles Sparks,2025,"$44,715.00",Active Hardship Contract
Grace Berger,Los Angeles Sparks,2025,"$1,666.00",Complete Hardship Contract
Napheesa Collier ,Minnesota Lynx,2025,"$214,284.00",Unprotected
Kayla McBride ,Minnesota Lynx,2025,"$205,000.00",Protected Veteran
Courtney Williams ,Minnesota Lynx,2025,"$180,000.00",Protected Veteran
Alanna Smith ,Minnesota Lynx,2025,"$150,000.00",Protected Veteran
Natisha Hiedeman ,Minnesota Lynx,2025,"$135,000.00",Protected Veteran
Bridget Carleton ,Minnesota Lynx,2025,"$125,000.00",Unprotected
Karlie Samuelson ,Minnesota Lynx,2025,"$118,450.00",Protected Veteran
Diamond Miller,Minnesota Lynx,2025,"$83,371.00",Unprotected
Jessica Shepard ,Minnesota Lynx,2025,"$78,831.00",Unprotected
Alissa Pili,Minnesota Lynx,2025,"$74,909.00",Unprotected
Dorka Juhasz,Minnesota Lynx,2025,N/A,Full-season Suspension
Anastasiia Olairi Kosu,Minnesota Lynx,2025,"$69,267.00",Unprotected
Maria Kliundikova,Minnesota Lynx,2025,"$54,418.00",Unprotected
Olivia Époupa,Minnesota Lynx,2025,N/A,Unrestriced Free Agent
Marième Badiane,Minnesota Lynx,2025,"$12,216.00",Waived
Breanna Stewart ,New York Liberty,2025,"$208,400.00",Protected Veteran
Sabrina Ionescu ,New York Liberty,2025,"$208,060.00",Unprotected
Natasha Cloud,New York Liberty,2025,"$200,000.00",Protected Veteran
Jonquel Jones,New York Liberty,2025,"$195,000.00",Protected Veteran
Betnijah Laney-Hamilton ,New York Liberty,2025,N/A,Full-season Suspension
Nyara Sabally,New York Liberty,2025,"$79,999.00",Unprotected
Kennedy Burke ,New York Liberty,2025,"$78,831.00",Unprotected
Isabelle Harrison ,New York Liberty,2025,"$78,831.00",Unprotected
Marquesha Davis,New York Liberty,2025,"$71,753.00",Unprotected
Leonie Fiebich,New York Liberty,2025,"$68,595.00",Temporary Suspension
Annika Soltau,New York Liberty,2025,N/A,Full-season Suspension
Raquel Carrera,New York Liberty,2025,N/A,Full-season Suspension
Seehia Ridard,New York Liberty,2025,N/A,Full-season Suspension
Rebekah Gardner,New York Liberty,2025,"$66,079.00",Unprotected
Marine Johannès,New York Liberty,2025,"$66,079.00",Unprotected
Jaylyn Sherrod,New York Liberty,2025,"$66,079.00",Unprotected
Ivana Dojkić ,New York Liberty,2025,N/A,Reserved Free Agent
Han Xu,New York Liberty,2025,N/A,Suspended Contract Expired
Kahleah Copper,Phoenix Mercury,2025,"$248,134.00",Protected Veteran
Satou Sabally ,Phoenix Mercury,2025,"$215,000.00",Protected Veteran
Alyssa Thomas,Phoenix Mercury,2025,"$215,000.00",Protected Veteran
Kalani Brown,Phoenix Mercury,2025,"$128,750.00",Protected Veteran
Sami Whitcomb ,Phoenix Mercury,2025,"$125,000.00",Unprotected
Kitija Laksa,Phoenix Mercury,2025,"$80,000.00",Protected Veteran
Helena Pueyo,Phoenix Mercury,2025,N/A,Full-season Suspension
Julia Ayrault,Phoenix Mercury,2025,N/A,Full-season Suspension
Lexi Held,Phoenix Mercury,2025,"$66,079.00",Unprotected
Monique Akoa Makani,Phoenix Mercury,2025,"$66,079.00",Unprotected
Natasha Mack,Phoenix Mercury,2025,"$66,079.00",Unprotected
Murjanatu Musa,Phoenix Mercury,2025,"$66,079.00",Unprotected
Kathryn Westbeld,Phoenix Mercury,2025,"$66,079.00",Unprotected
Megan McConnell,Phoenix Mercury,2025,"$56,084.00",Unprotected
Charisma Osborne,Phoenix Mercury,2025,N/A,Unrestriced Free Agent
Klara Lundquist,Phoenix Mercury,2025,N/A,Suspended Contract Expired
Sevgi Uzun,Phoenix Mercury,2025,"$11,106.00",Waived
